ID	AFP	dominating_struct	avg_occupancy	dominant_fp	d_seq
0	['.', '()', '().', '()..', '(...)', '()..()', '(...)()']	True	     1.0	['.', '.', '.', '()', '()', '().', '().', '()..', '()..', '()..', '()..', '()...', '(...)', '(...)', '(...)', '(...)', '(...)', '(...)', '()..()', '()..()', '()..()', '()..()', '()..()', '()..()', '()..()', '()..()', '()...()', '(...)()', '(...)()', '(...)()', '(...)()']	a* L0* b* S0  L0  S1  L1*  S2  L2*  S3 c b L0 a d S4 e* d* a* L0* b* c* f* S5 f c b L0 a d e S6
0	['.', '()', '().', '()..', '(...)', '()..()', '.(..())']	True	     1.0	['.', '.', '.', '.', '()', '()', '()', '().', '().', '()..', '()..', '()..', '()..', '()...', '(...)', '(...)', '(...)', '(...)', '(...)', '()..()', '()..()', '()..()', '()..()', '()..()', '.(..())', '.(..())', '.(..())']	a* L0* b* S0 c L0 d S1  L1*  S2  L2*  S3 e b L0 a f S4 f* a* L0* b* e* S5 d* L0* c* S6
0	['.', '()', '().', '()..', '(...)', '(.(.))', '(.(.)).']	False	  0.6008	['', '.', '.', '.', '.', '()', '()', '.()', '.()', '.().', '.().', '.().', '(().)', '(().)', '(().)', '(().)', '(().)', '(().).', '(().).', '(()..)', '(()..)', '(()..).', '(()..).']	a* b* L0* c* d* S0  L0  S1  L0*  S2  L1*  S3 c L0 b S4 d c L0 b a S5  L2*  S6
0	['.', '()', '().', '()..', '(...)', '(.(.))', '(.(.).)']	False	  0.5826	['', '', '.', '.', '.', '.', '.', '()', '()', '.()', '.()', '.().', '.().', '.().', '(().)', '(().)', '(().)', '(().)', '(().)', '(().).', '(().).', '(()..)', '(()..)', '(()..)', '(()..)', '(()..)', '(()..).', '(()..).', '(()..).', '(()...)', '(()...)']	a* b* c* L0* d* e* f* S0  L0  S1  L0*  S2  L1*  S3 d L0 c S4 e d L0 c b S5 f e d L0 c b a S6
0	['.', '()', '().', '()..', '(...)', '(.(.))', '(..()).']	False	  0.6407	['', '.', '.', '.', '.', '()', '()', '.()', '.()', '.().', '.().', '.().', '(().)', '(().)', '(().)', '(().)', '(().)', '(().).', '(().).', '(()())', '(()())', '(()()).', '(()()).']	a* b* L0* c* d* S0  L0  S1  L0*  S2  L0*  S3 c L0 b S4 d c L0 b a S5  L1*  S6
0	['.', '()', '().', '()..', '(...)', '(.(.))', '(..().)']	False	  0.6036	['', '', '.', '.', '.', '.', '.', '()', '()', '.()', '.()', '.().', '.().', '.().', '(().)', '(().)', '(().)', '(().)', '(().)', '(().).', '(().).', '(()())', '(()())', '(()())', '(()())', '(()())', '(()()).', '(()()).', '(()()).', '(()().)', '(()().)']	a* b* c* L0* d* e* f* S0  L0  S1  L0*  S2  L0*  S3 d L0 c S4 e d L0 c b S5 f e d L0 c b a S6
0	['.', '()', '().', '()..', '(...)', '(.(.))', '(...)()']	False	  0.6008	['', '.', '.', '.', '.', '()', '()', '.()', '.()', '.().', '.().', '.().', '(().)', '(().)', '(().)', '(().)', '(().)', '(().)', '(().).', '(().).', '(()..)', '(()..)', '(()..)', '(()..)', '(()..)', '(()..)', '(()..).', '(().)()', '(().)()', '(().)()', '(().)()']	a* b* L0* c* d* S0  L0  S1  L0*  S2  L1*  S3 c L0 b S4 e d c L0 b a f S5 f* a* b* L0* c* d* e* S6
0	['.', '()', '().', '()..', '(...)', '(..())', '(.(()))']	False	  0.6036	['', '', '.', '.', '.', '.', '.', '()', '()', '.()', '.()', '.().', '.().', '.().', '(().)', '(().)', '(().)', '(().)', '(().)', '(().).', '(().).', '(()())', '(()())', '(()())', '(()())', '(()())', '(()()).', '(()()).', '(()()).', '(()().)', '(()().)']	a* b* c* L0* d* e* f* S0  L0  S1  L0*  S2  L0*  S3 d L0 c S4 e d L0 c b S5 f e d L0 c b a S6
0	['.', '()', '().', '()..', '(...)', '(..())', '(.(.)).']	False	  0.6407	['', '.', '.', '.', '.', '()', '()', '.()', '.()', '.().', '.().', '.().', '(().)', '(().)', '(().)', '(().)', '(().)', '(().).', '(().).', '(()())', '(()())', '(()()).', '(()()).']	a* b* L0* c* d* S0  L0  S1  L0*  S2  L0*  S3 c L0 b S4 d c L0 b a S5  L1*  S6
0	['.', '()', '().', '()..', '(...)', '(..())', '(.(.).)']	False	  0.6036	['', '', '.', '.', '.', '.', '.', '()', '()', '.()', '.()', '.().', '.().', '.().', '(().)', '(().)', '(().)', '(().)', '(().)', '(().).', '(().).', '(()())', '(()())', '(()())', '(()())', '(()())', '(()()).', '(()()).', '(()()).', '(()().)', '(()().)']	a* b* c* L0* d* e* f* S0  L0  S1  L0*  S2  L0*  S3 d L0 c S4 e d L0 c b S5 f e d L0 c b a S6
